Location,MinTemp,MaxTemp,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainTomorrow
55,31,38,13,30,31,39,69,37,48,18
28,25,25,43,6,7,33,41,18,34,51
89,24,34,0,40,18,76,92,11,43,72
86,2,27,6,33,37,80,88,49,42,56
8,23,46,43,12,29,28,45,30,4,52
2,16,6,48,35,45,22,35,17,14,46
67,22,23,35,9,28,1,9,47,0,41
40,25,5,3,20,23,9,89,23,25,47
97,41,24,30,23,15,7,98,1,36,46
48,14,11,44,35,43,42,24,5,31,5
9,50,9,41,32,43,37,51,6,25,35
65,9,40,18,42,49,72,60,49,14,46
24,29,1,18,29,4,91,90,50,21,10
23,14,10,38,19,40,41,9,2,10,34
54,26,6,34,47,47,19,32,3,3,37
73,46,26,28,13,13,40,36,35,12,96
29,8,20,18,5,32,95,35,15,17,4
45,3,17,26,6,24,91,45,23,15,4
72,40,2,35,23,37,57,66,11,33,79
59,38,5,42,23,23,81,38,22,20,83
71,4,42,47,27,40,78,99,37,2,31
42,0,5,30,15,40,97,48,40,30,39
36,43,33,12,13,23,35,67,23,18,21
59,3,10,50,45,23,84,47,4,37,70
83,43,42,35,8,38,69,18,9,37,21
47,20,15,25,10,9,99,21,45,7,60
52,17,44,23,38,42,25,97,21,12,37
8,8,46,17,42,49,41,34,50,24,36
88,8,45,22,30,15,42,96,41,44,32
40,33,15,1,0,44,51,2,18,49,60
40,7,48,9,38,3,49,66,36,28,14
100,39,17,16,18,28,49,60,16,13,52
8,20,47,28,29,12,7,30,7,40,67
56,32,8,5,13,3,50,13,6,25,61
31,16,18,39,9,0,94,46,49,14,79
94,36,17,44,29,47,4,60,18,17,47
46,46,25,25,31,33,77,73,49,32,64
42,6,25,45,39,48,83,2,47,1,20
84,5,37,3,27,1,83,4,9,5,100
27,2,25,42,15,35,79,33,37,5,94
9,29,39,29,0,39,54,87,36,45,52
70,9,18,28,2,25,85,45,8,11,75
75,23,29,17,19,13,29,99,32,37,85
64,12,50,17,49,17,36,4,49,2,32
79,9,43,4,44,24,6,91,12,22,5
38,47,8,30,0,23,30,92,6,26,51
85,6,48,39,20,28,73,33,8,15,6
48,32,8,27,42,5,81,93,46,47,84
58,46,23,28,11,24,29,76,0,4,12
16,43,12,20,19,0,34,84,33,36,55
44,50,0,6,19,12,17,62,24,15,55
43,1,17,12,12,0,66,7,42,26,80
64,7,32,43,5,3,2,23,30,35,26
55,47,28,27,20,22,36,71,37,2,73
98,31,50,2,32,6,35,14,33,35,44
57,6,27,3,24,45,6,24,14,39,8
85,8,9,15,21,36,8,13,18,21,10
28,30,42,32,29,30,55,87,21,23,48
35,40,17,17,27,16,17,58,15,18,85
44,48,5,38,30,36,8,16,33,26,57
89,29,5,6,30,47,43,52,17,39,79
91,24,13,35,1,28,43,57,13,4,29
46,35,48,17,41,7,89,38,24,40,36
66,27,18,5,2,17,4,72,50,12,95
25,41,29,38,36,16,58,3,10,21,21
79,35,22,3,11,30,62,38,21,1,89
49,40,30,20,8,2,45,49,3,2,17
10,24,43,37,9,32,100,79,3,3,35
77,27,22,8,16,22,26,65,5,17,94
27,28,36,42,44,36,14,63,12,20,88
66,3,22,28,4,8,78,11,15,26,57
50,36,31,12,42,18,73,82,50,24,20
75,18,6,50,28,30,88,22,43,46,49
83,24,50,46,41,29,78,47,37,6,37
7,25,2,23,50,34,21,11,29,32,52
59,0,24,13,22,4,73,80,43,13,46
70,30,40,50,41,26,45,86,15,38,40
69,15,50,14,10,26,91,47,19,50,30
47,46,21,19,46,4,90,49,44,29,45
79,4,5,50,50,34,57,39,27,27,65
16,36,24,17,0,39,59,20,40,42,43
19,15,49,33,32,38,71,28,26,15,17
93,16,36,41,47,31,48,76,28,15,100
7,38,16,5,23,16,18,71,48,42,100
29,32,27,0,49,13,20,24,16,50,74
39,30,5,1,36,22,12,51,0,29,14
61,7,10,48,50,33,60,94,21,8,75
45,21,3,7,41,25,38,13,28,39,82
31,39,7,25,36,8,43,46,41,19,92
94,45,34,29,6,36,29,59,32,18,84
11,11,24,8,26,15,57,11,12,0,16
39,6,30,50,45,44,41,8,30,13,24
59,48,38,45,45,8,7,21,42,5,8
77,30,10,27,11,14,16,86,9,28,79
29,34,16,36,1,44,73,93,1,5,69
58,5,15,41,20,21,60,80,3,48,93
10,12,50,20,21,17,96,24,46,7,68
31,8,35,23,26,21,52,44,48,2,13
94,22,38,32,32,43,28,43,27,39,28
16,25,45,31,45,19,81,92,43,46,40
68,23,16,3,36,39,28,89,17,47,72
29,34,34,7,44,20,36,61,16,1,46
97,12,27,34,38,11,22,94,47,42,64
93,0,49,29,20,47,88,28,9,45,89
15,30,11,28,29,11,19,47,35,43,45
1,27,27,47,27,16,70,72,4,43,60
21,18,10,8,15,26,85,88,25,43,84
46,43,14,27,46,1,1,88,4,50,24
99,49,29,10,9,12,88,21,44,0,71
48,0,0,24,35,25,51,94,20,5,88
5,23,16,3,0,16,5,45,3,42,31
82,1,24,12,45,47,93,25,36,32,32
1,42,10,38,4,1,19,22,10,1,81
22,23,32,27,18,10,21,62,26,14,78
71,2,39,40,10,39,6,100,37,36,90
2,39,50,20,50,19,19,41,11,38,95
6,44,49,46,24,44,49,92,32,40,31
68,32,46,41,39,41,55,4,34,22,22
23,13,9,45,23,44,12,79,30,40,6
31,15,0,45,28,44,38,14,39,48,47
54,45,36,44,41,34,19,100,23,20,72
48,50,16,42,46,45,77,69,2,17,20
25,20,6,12,40,47,82,100,45,7,51
22,20,29,19,40,17,48,42,4,34,13
17,14,5,50,17,25,27,56,32,6,67
85,13,48,25,7,26,29,72,33,34,59
75,1,3,35,11,6,24,61,49,50,5
41,27,46,11,12,40,83,59,28,26,88
78,29,8,48,24,29,67,32,47,11,99
28,16,6,34,10,46,57,97,5,12,28
79,0,24,4,0,21,22,8,26,34,11
29,25,5,10,28,20,12,87,33,44,29
34,8,44,35,26,18,11,99,12,1,68
22,45,25,26,15,20,16,51,14,1,76
25,11,0,5,35,44,11,46,46,19,30
57,15,31,46,36,40,15,56,38,22,76
70,24,34,36,14,12,25,17,7,47,31
48,7,24,37,32,14,34,5,3,18,98
46,16,22,1,25,41,86,31,41,34,52
7,17,29,21,3,16,27,96,17,44,0
24,25,37,24,47,18,67,86,34,11,60
87,17,12,46,16,48,86,91,15,47,44
16,4,36,18,42,50,33,14,4,37,70
82,49,26,7,29,26,31,50,42,16,75
78,10,36,21,1,7,60,32,33,40,69
88,45,38,4,35,49,56,76,16,36,84
28,43,40,10,43,18,2,50,22,5,41
52,44,24,27,5,21,4,18,4,25,66
12,17,36,7,17,50,98,35,46,36,64
17,9,18,50,42,1,52,74,6,4,22
51,48,43,48,46,23,54,77,45,2,95
6,19,3,16,27,45,62,26,12,7,68
96,44,41,12,2,50,44,72,37,5,43
50,28,3,1,3,40,32,41,35,29,20
14,15,39,3,41,49,28,11,18,31,70
66,11,28,30,5,45,6,97,39,36,68
6,48,29,18,40,27,98,3,46,32,64
39,26,15,0,11,5,57,31,29,48,16
99,13,19,14,50,50,81,74,20,42,27
41,28,32,48,17,33,96,81,9,36,44
87,11,30,49,23,12,92,80,6,37,54
93,34,46,20,23,31,74,43,50,16,24
85,45,49,46,1,12,13,39,5,48,62
30,38,21,32,12,13,100,3,27,48,13
21,11,7,19,18,1,46,99,25,26,65
90,31,47,7,24,31,60,97,7,0,60
88,39,39,9,41,35,43,7,24,50,13
35,35,34,7,44,40,19,44,12,38,89
30,31,26,3,30,33,28,42,21,44,29
31,11,43,43,42,50,5,33,36,0,59
42,44,41,15,21,1,99,25,34,16,72
96,28,22,4,34,34,72,38,24,42,11
76,29,21,25,2,2,43,65,31,33,10
67,41,45,24,12,8,46,63,10,7,41
36,49,24,42,6,37,71,11,45,3,39
65,19,4,31,39,36,49,29,4,24,61
37,0,40,43,4,5,39,19,3,4,88
43,14,10,22,3,4,22,41,12,7,69
74,36,6,38,14,30,64,60,26,41,6
78,30,22,36,34,19,59,49,46,1,1
44,46,32,23,50,23,29,43,4,19,72
13,3,2,32,3,6,30,49,18,11,74
91,16,36,41,1,27,6,13,17,32,83
99,0,0,24,6,4,61,27,23,14,6
20,22,3,21,21,37,100,71,15,15,4
50,43,13,34,22,44,17,89,36,37,72
69,17,36,46,7,2,25,7,18,38,18
58,23,43,5,14,29,12,31,19,2,58
30,27,27,48,7,18,94,96,0,8,16
33,17,19,14,4,41,23,69,13,46,17
19,15,20,50,32,46,74,100,6,7,94
35,35,5,4,50,26,58,18,21,11,55
91,9,1,50,11,48,64,20,29,45,75
94,4,7,8,26,30,46,46,26,36,46
87,34,34,16,3,3,27,27,25,3,14
30,33,9,12,5,21,96,68,27,42,79
80,41,27,39,2,29,18,34,21,15,24
56,11,40,19,21,4,87,84,1,22,58
60,41,26,6,29,40,62,58,41,47,37
15,45,45,30,48,48,0,76,12,30,18
49,24,46,1,8,17,40,93,14,38,97
99,14,18,0,14,42,28,89,0,10,81
70,32,18,47,7,26,63,69,7,32,76
5,22,36,5,49,17,73,89,14,12,7
28,40,16,41,47,7,77,88,2,38,49
100,48,7,31,36,10,7,41,34,2,98
42,32,34,6,28,12,77,53,33,34,28
50,40,18,10,47,26,73,59,17,37,85
81,23,46,30,31,33,93,2,22,33,42
31,48,11,18,46,2,55,88,8,47,83
3,40,3,1,42,5,63,62,45,6,59
25,18,44,50,40,0,66,51,7,32,23
71,30,40,45,24,38,30,73,12,24,72
68,38,45,10,0,40,38,88,17,39,88
62,35,10,17,31,21,53,44,3,42,72
70,5,12,44,23,27,12,34,31,41,49
83,16,29,38,16,20,68,46,19,3,33
92,48,33,0,28,37,37,11,32,12,77
14,22,44,0,22,14,98,45,36,4,52
73,44,35,38,0,14,85,19,19,49,8
56,23,50,50,29,27,87,2,9,18,96
55,30,43,25,0,22,37,88,18,50,6
20,31,47,45,6,46,1,12,47,33,83
15,46,43,17,23,30,94,37,1,31,29
85,34,16,19,30,26,59,38,24,21,1
30,25,47,35,42,48,96,53,28,16,31
76,45,37,32,0,38,9,27,0,50,77
30,6,33,46,48,25,8,89,10,22,59
89,3,35,48,43,31,38,82,47,18,77
4,42,28,12,33,19,85,23,15,5,80
42,38,15,16,25,26,21,27,28,47,73
31,7,29,34,17,23,55,87,13,28,53
94,26,13,36,5,24,33,29,4,43,40
32,21,11,35,3,12,66,71,14,7,39
80,25,35,7,4,33,78,95,39,20,62
8,31,22,5,7,36,33,94,24,26,49
3,1,18,47,7,17,67,18,43,46,70
22,10,7,40,2,42,31,36,35,12,87
39,33,49,23,19,35,13,21,43,26,63
41,11,13,45,45,33,42,68,8,36,25
4,50,33,9,42,19,11,87,26,23,15
49,21,35,8,36,24,18,28,5,0,3
1,37,29,25,31,40,38,90,26,46,57
19,0,46,24,41,14,91,48,5,48,69
59,18,33,41,34,34,86,87,29,47,11
71,42,6,1,20,8,85,31,22,5,31
32,2,42,2,16,10,92,71,2,13,9
58,13,38,34,5,28,31,60,2,9,93
0,4,0,18,2,31,77,3,18,21,96
48,33,14,44,31,6,85,1,3,41,81
86,32,46,35,18,50,39,73,5,33,20
0,28,32,20,16,16,97,6,43,15,1
52,2,31,5,24,7,83,99,7,28,32
12,13,35,6,1,50,7,21,13,35,16
77,35,17,25,50,28,35,23,31,16,75
34,31,6,48,13,3,98,82,8,9,44
44,9,13,15,32,27,52,73,16,40,23
14,14,40,38,43,40,33,90,40,7,70
47,39,23,21,49,49,81,94,50,14,9
48,15,23,49,39,36,97,54,5,16,89
56,11,14,39,18,26,51,78,31,28,61
0,43,3,4,37,13,77,63,20,36,51
9,4,8,49,30,33,22,42,13,2,12
98,24,39,46,42,37,59,40,20,44,46
7,40,0,2,43,6,73,95,23,9,48
46,42,35,45,46,12,29,66,0,26,13
1,25,20,50,12,15,43,68,9,9,48
37,26,33,30,4,20,92,2,26,12,25
62,5,3,12,46,31,93,37,12,26,83
41,43,20,36,36,21,40,23,46,18,80
16,20,21,33,42,22,93,18,41,38,89
23,33,47,16,0,3,83,83,43,50,5
15,48,46,26,17,6,40,92,31,5,90
27,24,23,33,48,44,52,45,21,23,27
53,0,31,40,30,48,2,73,12,45,6
0,35,9,22,20,14,72,0,31,31,55
16,26,40,46,38,0,24,66,7,15,75
59,5,35,1,23,48,99,13,45,38,71
1,46,27,0,0,11,82,98,30,22,89
33,34,20,34,27,5,86,30,41,22,75
48,32,3,18,50,25,65,3,17,1,24
30,10,37,43,6,47,26,97,22,48,48
79,26,11,3,22,47,0,18,32,36,65
87,45,26,34,25,0,48,7,20,0,78
24,49,30,17,35,21,5,10,37,0,35
83,40,8,20,28,8,13,11,6,39,31
5,20,45,22,25,14,38,69,46,26,49
10,22,34,36,47,1,84,30,17,11,27
68,21,22,40,21,7,66,1,27,24,8
25,25,1,37,38,23,57,59,44,10,32
61,46,5,33,23,7,32,47,29,31,39
95,39,42,33,49,21,38,16,15,11,35
67,44,13,15,37,16,54,95,26,41,69
72,2,4,2,5,40,99,2,38,37,62
95,7,9,46,0,42,98,18,10,18,74
77,30,43,27,28,16,61,83,19,48,46
37,38,43,1,41,3,14,63,38,14,5
30,40,40,12,6,13,2,62,1,47,17
36,30,26,3,12,3,67,75,29,24,13
26,13,38,44,7,49,5,12,45,18,8
37,8,16,14,33,31,13,11,33,23,44
46,43,38,18,17,42,29,90,22,25,5
46,30,7,24,24,26,54,37,3,14,71
20,5,17,11,48,3,37,97,8,33,95
69,2,8,30,25,39,26,45,14,5,71
94,34,34,15,2,18,46,83,28,7,87
30,28,44,48,6,23,17,7,24,27,76
32,49,2,11,19,19,55,74,24,12,34
50,27,0,21,2,10,88,1,22,26,92
38,38,9,50,29,32,9,66,30,36,31
62,25,45,31,46,11,19,32,1,4,86
69,19,48,42,3,36,72,84,30,23,11
14,20,37,4,9,41,23,64,19,26,60
76,18,28,9,20,6,76,53,42,12,73
66,50,41,47,15,19,26,22,18,20,52
42,9,39,25,27,4,77,70,34,1,17
28,25,19,37,19,36,28,21,27,46,35
54,20,22,33,46,37,59,71,3,14,32
20,14,40,46,22,2,86,55,2,19,53
22,32,38,20,26,45,83,100,23,36,31
42,15,44,44,38,19,61,95,5,44,38
95,7,1,43,40,16,40,45,39,41,74
76,14,18,12,21,8,51,66,31,36,54
51,50,40,5,39,29,69,92,29,14,66
14,45,8,24,25,0,61,67,30,12,59
21,39,17,45,41,7,87,79,37,16,59
49,28,8,45,16,24,56,26,39,17,12
29,36,31,13,44,5,20,23,6,50,44
48,41,13,33,46,12,97,21,31,11,24
67,14,44,49,18,6,6,0,35,37,60
29,3,44,25,39,2,2,47,13,5,84
75,1,40,6,28,10,94,31,31,37,51
2,45,15,48,19,7,38,39,31,10,78
70,40,49,12,2,40,24,99,23,4,3
67,5,19,4,2,40,25,80,48,39,78
0,16,22,2,13,39,7,41,15,29,50
77,50,41,23,18,11,41,15,49,39,39
41,48,22,43,11,20,94,11,42,18,15
62,40,12,23,8,4,22,7,0,17,81
50,27,0,35,22,10,63,39,29,45,10
75,32,31,19,42,26,61,58,44,16,6
44,11,9,19,13,47,57,40,44,37,73
10,39,2,31,20,36,61,47,26,19,94
36,9,33,35,42,45,62,8,15,45,97
78,19,12,16,20,19,48,78,2,15,1
43,10,46,40,41,4,77,18,2,24,21
86,27,1,12,41,22,47,79,1,34,71
45,15,14,29,17,28,80,62,23,8,60
30,37,50,9,13,26,17,60,22,30,8
9,38,3,42,13,41,54,60,39,8,82
72,46,46,26,11,35,80,9,11,38,37
74,33,41,30,44,1,93,54,0,5,96
83,1,37,45,8,38,13,64,4,50,9
11,0,5,34,48,40,94,34,16,47,26
45,2,4,36,38,49,38,77,4,9,48
55,31,39,29,46,4,97,32,48,47,82
61,11,34,49,29,14,64,35,41,26,52
17,5,12,50,39,39,13,93,3,16,38
37,7,8,25,21,37,20,98,36,15,69
100,17,13,47,7,18,17,51,31,21,28
47,3,11,31,7,30,8,90,9,7,82
50,2,37,1,6,40,13,83,9,46,16
56,0,32,12,18,25,84,38,49,42,51
73,19,20,21,31,41,44,0,3,43,29
57,29,47,42,22,0,64,12,10,15,69
26,37,34,34,11,50,5,8,46,47,3
46,26,21,32,45,6,88,51,26,26,17
61,5,39,5,46,20,46,8,23,33,42
68,37,22,35,29,4,37,64,2,5,42
57,48,31,29,37,35,16,23,39,11,18
77,46,35,14,2,39,16,58,23,44,97
41,48,49,6,25,14,67,79,35,44,87
92,22,32,29,6,36,30,59,14,32,36
32,49,35,0,42,8,38,73,23,8,96
21,2,34,26,38,41,20,43,37,48,87
12,25,37,22,50,39,76,96,37,34,94
31,6,41,36,15,50,74,62,17,30,45
6,48,31,49,40,41,86,0,13,49,62
45,12,33,2,46,24,29,22,6,3,7
63,32,30,36,48,28,52,3,26,28,47
51,8,3,34,2,26,59,25,39,1,68
91,39,17,24,11,3,90,65,22,26,37
37,17,8,0,44,39,50,92,6,9,41
68,45,5,44,16,9,73,7,8,37,59
85,13,10,16,17,23,93,29,34,10,39
68,34,1,40,18,3,92,92,12,18,18
39,20,15,41,48,39,47,65,40,41,48
35,4,6,0,20,7,18,70,13,3,94
85,4,31,10,32,15,24,100,38,29,2
51,35,20,8,5,28,47,84,3,23,66
95,22,28,22,5,10,32,94,37,41,73
37,19,43,10,45,26,22,88,50,1,45
32,6,45,18,31,49,8,85,21,31,9
73,17,23,12,2,37,94,96,43,25,43
39,33,18,1,6,46,18,99,15,27,31
12,16,19,44,2,36,41,16,40,37,81
96,25,1,50,31,32,82,25,32,35,54
68,4,35,40,25,38,28,73,32,27,53
82,26,8,32,14,3,77,0,33,16,87
12,3,34,14,20,36,90,59,10,26,21
31,47,14,44,31,32,43,54,23,25,22
40,40,25,28,40,11,34,100,49,9,58
9,0,13,45,12,48,24,76,11,29,10
31,4,31,44,4,9,87,88,26,12,75
96,44,33,17,25,30,86,73,2,11,94
82,21,40,30,25,42,43,37,21,45,2
64,29,32,49,42,38,0,8,47,21,77
12,4,10,44,21,48,63,81,46,41,60
17,42,28,16,36,12,45,22,17,39,58
100,45,45,14,14,0,28,39,47,4,96
43,35,32,32,35,1,8,43,36,37,23
25,9,50,16,11,31,86,92,14,37,33
0,37,39,9,22,46,63,85,12,46,86
55,1,16,21,35,4,78,70,31,4,33
23,4,26,40,1,3,0,10,28,31,62
26,14,33,14,45,1,94,62,33,2,90
96,35,47,28,8,42,72,54,17,1,44
35,21,47,10,42,30,79,97,49,4,34
55,41,26,24,48,4,100,15,28,10,42
82,17,6,7,10,21,45,23,35,31,24
4,40,38,11,28,38,48,24,37,35,6
78,24,44,23,46,12,61,5,49,24,65
48,1,13,49,1,46,50,9,45,13,3
75,10,0,14,25,22,59,22,17,6,54
93,35,18,7,5,5,86,47,20,42,23
91,36,25,18,16,30,60,65,37,50,30
28,9,22,19,30,9,72,26,39,12,1
0,4,8,33,39,42,33,55,42,4,90
7,43,4,14,21,22,65,18,20,20,71
87,13,22,31,38,13,44,66,49,22,9
97,38,19,9,29,31,17,11,18,44,94
21,6,36,28,32,36,36,59,22,23,38
39,33,41,50,36,47,70,73,49,12,15
50,24,39,2,33,49,78,85,1,47,62
69,28,27,11,17,5,62,34,0,48,55
11,1,29,12,26,7,37,17,2,28,48
33,40,41,32,13,27,46,3,8,29,48
20,30,26,6,43,45,29,93,41,32,99
99,50,22,36,5,11,63,41,37,35,75
86,26,22,44,44,4,53,44,49,35,62
93,19,11,17,5,4,28,57,38,16,30
44,11,5,41,43,41,28,36,43,49,6
70,2,45,23,10,14,9,27,36,41,50
5,33,3,19,46,35,87,36,25,45,26
48,19,18,1,17,17,80,92,12,5,48
48,43,46,35,25,4,79,33,6,19,84
45,27,44,21,5,19,28,39,42,44,53
1,48,47,50,31,4,99,66,30,39,25
18,28,2,4,40,18,15,89,38,10,56
86,10,4,10,10,4,92,59,33,20,75
80,32,4,10,7,0,91,12,15,13,91
32,27,26,31,36,22,9,48,29,31,55
53,34,26,6,15,6,42,69,0,16,77
96,26,41,48,16,37,51,55,20,40,2
9,34,19,1,17,18,82,25,9,8,8
96,30,11,31,10,37,76,60,9,1,20
91,13,15,1,21,21,33,75,46,12,65
43,30,40,43,3,19,54,72,48,28,91
42,2,25,25,41,6,36,85,11,30,20
44,34,2,28,30,10,3,6,17,0,72
15,50,43,42,1,11,84,12,22,38,66
17,35,45,39,34,39,41,66,47,25,31
21,15,21,33,35,39,68,62,19,24,50
6,40,30,34,3,4,37,93,36,42,41
38,6,29,50,4,34,89,83,46,29,16
37,50,13,1,41,19,22,79,1,24,75
3,38,46,36,6,11,41,67,31,31,78
40,2,24,40,12,19,42,99,43,9,97
28,41,39,23,3,33,49,30,28,39,56
29,25,16,46,49,26,1,61,11,19,12
20,38,38,47,1,45,66,88,38,16,33
84,45,42,15,5,37,55,62,5,9,37
23,22,48,17,28,24,2,21,17,44,36
17,34,42,36,9,49,2,71,47,25,83
34,39,30,33,38,1,45,51,47,35,53
26,42,5,50,23,39,37,88,3,12,74
59,22,23,2,9,19,64,36,48,48,0
34,50,50,26,4,43,100,27,14,24,69
36,26,26,29,50,9,23,32,12,16,17
53,30,43,23,33,45,72,79,30,4,0
43,26,38,45,26,39,66,57,41,21,27
22,32,10,2,25,12,61,60,5,45,24
82,22,27,42,15,30,37,1,46,50,25
53,31,26,7,23,28,77,32,39,35,12
65,38,16,5,30,18,97,53,17,18,25
90,50,17,37,5,48,84,43,27,30,52
63,1,37,2,5,21,7,39,17,30,94
16,29,10,7,0,9,7,65,50,12,14
72,42,32,31,8,29,50,69,20,39,65
61,23,10,47,47,2,35,37,40,25,60
51,0,0,2,0,34,7,2,25,29,14
42,8,33,31,41,4,44,19,36,43,62
45,4,0,19,31,16,6,65,19,4,98
48,0,9,33,12,33,12,27,48,13,21
26,32,32,37,40,29,47,94,1,2,70
19,39,6,42,29,14,81,61,45,38,35
73,37,26,23,0,39,64,63,0,50,61
57,47,38,30,36,22,42,89,36,16,52
69,25,15,42,30,8,14,14,42,6,79
78,14,38,36,18,47,41,57,45,18,58
66,8,22,25,23,26,93,88,30,39,6
54,50,32,12,13,46,50,26,12,16,100
86,37,29,49,10,37,36,41,50,18,70
87,18,22,50,27,21,57,70,11,6,94
92,42,16,16,42,36,12,57,10,38,2
9,37,26,39,20,29,37,38,0,39,29
25,23,24,47,31,37,62,47,49,9,42
58,4,49,42,4,21,83,24,14,8,70
77,44,39,24,43,29,64,89,47,28,6
3,18,38,44,3,16,33,72,2,6,55
64,32,31,8,24,8,33,39,49,13,98
53,7,1,5,28,3,4,69,0,2,71
90,6,37,32,35,48,98,97,13,8,22
82,6,45,47,33,19,95,40,28,46,71
40,48,21,13,40,22,78,72,9,30,91
77,37,1,45,10,8,63,5,50,48,0
81,27,16,21,48,47,77,73,24,40,91
49,44,17,35,23,1,90,25,4,11,2
70,36,37,23,49,4,54,13,44,21,58
88,38,21,13,28,29,0,64,16,27,55
21,10,14,16,1,25,60,45,16,12,19
9,38,19,5,46,32,3,29,22,15,50
100,6,33,12,19,49,86,14,1,21,70
76,34,5,6,31,34,57,32,0,11,93
83,5,39,48,22,48,21,91,26,1,37
15,9,47,42,3,19,11,20,29,7,20
47,15,3,21,23,20,97,70,19,20,49
91,47,8,43,21,36,85,16,49,38,2
50,23,37,37,14,37,21,41,42,19,76
98,39,5,1,0,7,8,70,29,13,53
81,48,16,42,1,3,33,83,21,35,68
26,34,12,45,35,3,83,88,28,44,66
54,22,45,42,27,34,40,15,7,2,73
91,33,39,1,38,6,36,2,37,2,16
36,48,5,49,39,39,89,58,28,12,67
82,2,7,8,10,43,45,23,50,50,91
64,36,13,5,35,49,19,49,8,22,35
12,10,4,46,42,41,100,21,13,21,16
86,45,25,26,26,28,31,70,23,32,22
86,6,35,0,14,21,81,77,8,3,19
93,50,12,28,1,18,29,99,41,41,43
32,24,7,41,11,32,13,24,45,21,54
24,49,47,44,2,8,94,63,39,46,36
97,13,26,25,29,10,31,30,22,34,32
35,37,31,5,35,27,36,32,22,28,79
20,20,19,36,37,13,77,16,30,33,0
89,3,39,46,6,13,68,92,38,37,29
76,38,47,28,27,23,100,79,3,36,98
96,50,19,32,13,19,62,65,49,42,39
61,9,45,30,14,5,70,41,21,37,32
85,33,37,12,3,41,98,51,9,11,69
5,41,31,46,39,35,41,54,15,24,71
14,40,48,35,31,42,43,52,41,4,49
92,35,40,28,49,19,40,57,25,24,79
51,26,20,33,28,10,16,42,47,48,97
46,39,50,13,15,14,86,12,44,25,34
93,8,3,31,8,18,92,12,11,1,60
16,28,48,44,11,31,4,83,38,19,9
18,43,38,0,31,9,65,1,9,32,70
39,21,30,44,50,7,14,89,29,28,88
34,3,30,3,12,49,90,70,27,41,23
99,1,2,40,14,5,63,52,39,0,85
91,1,25,40,5,15,18,13,38,45,9
12,31,14,2,5,24,5,73,9,33,70
