user_id,location,isbn,rating,book_title,book_author,year_of_publication,publisher
230522,"colorado springs, colorado, usa",399135782,7,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
236322,"houston, texas, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
238557,"kuala lumpur, selangor, malaysia",399135782,10,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
242247,"livonia, michigan, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
245827,"albuquerque, ,",399135782,9,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
248583,"vancouver, british columbia, canada",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
252282,"sammamish, washington, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
252921,"renton, washington, usa",399135782,8,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
255661,"parker, colorado, usa",399135782,5,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
8,"timmins, ontario, canada",425176428,0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group
52614,"toccoa, ga., usa",425176428,8,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group
56193,"wahiawa, hawaii, usa",425176428,0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group
225910,"annville, pennsylvania, usa",425176428,0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group
274634,"wahiawa, hawaii, usa",425176428,0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group
8,"timmins, ontario, canada",671870432,0,PLEADING GUILTY,Scott Turow,1993,Audioworks
11676,"n/a, n/a, n/a",671870432,8,PLEADING GUILTY,Scott Turow,1993,Audioworks
24539,"cabrils, catalunya, spain",671870432,0,PLEADING GUILTY,Scott Turow,1993,Audioworks
8,"timmins, ontario, canada",679425608,0,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House
8,"timmins, ontario, canada",074322678X,5,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner
8,"timmins, ontario, canada",771074670,0,Nights Below Station Street,David Adams Richards,1988,Emblem Editions
11676,"n/a, n/a, n/a",771074670,0,Nights Below Station Street,David Adams Richards,1988,Emblem Editions
98499,"toronto, ontario, canada",771074670,0,Nights Below Station Street,David Adams Richards,1988,Emblem Editions
166596,"greenwood, british columbia, canada",771074670,0,Nights Below Station Street,David Adams Richards,1988,Emblem Editions
189238,"dunedin, otago, new zealand",771074670,6,Nights Below Station Street,David Adams Richards,1988,Emblem Editions
223066,"ottawa, ontario, canada",771074670,0,Nights Below Station Street,David Adams Richards,1988,Emblem Editions
8,"timmins, ontario, canada",080652121X,0,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press
8,"timmins, ontario, canada",887841740,5,The Middle Stories,Sheila Heti,2004,House of Anansi Press
92861,"vancouver, british columbia, canada",887841740,0,The Middle Stories,Sheila Heti,2004,House of Anansi Press
8,"timmins, ontario, canada",1552041778,5,Jane Doe,R. J. Kaiser,1999,Mira Books
8,"timmins, ontario, canada",1558746218,0,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
3363,"knoxville, tennessee, usa",1558746218,0,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
61501,"timmins, ontario, canada",1558746218,7,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
148514,"barstow, california, usa",1558746218,10,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
174304,"st. louis, missouri, usa",1558746218,0,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
177090,"ashland, missouri, usa",1558746218,0,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
256233,"glen allen, virginia, usa",1558746218,0,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
263256,"knoxville, tennessee, usa",1558746218,10,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
8,"timmins, ontario, canada",1567407781,6,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade
8,"timmins, ontario, canada",1575663937,6,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.
176875,"tampere, pirkanmaa, finland",1575663937,0,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.
213915,"sheffield, s yorkshire, united kingdom",1575663937,0,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.
8,"timmins, ontario, canada",1881320189,7,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub
35826,"prosperity, south carolina, usa",1881320189,0,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub
226745,"humble, ,",1881320189,7,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub
9,"germantown, tennessee, usa",440234743,0,The Testament,John Grisham,1999,Dell
243,"arden hills, minnesota, usa",440234743,0,The Testament,John Grisham,1999,Dell
388,"nashville, tennessee, usa",440234743,0,The Testament,John Grisham,1999,Dell
2977,"richland, washington, usa",440234743,0,The Testament,John Grisham,1999,Dell
3329,"grantsville, utah, usa",440234743,8,The Testament,John Grisham,1999,Dell
3363,"knoxville, tennessee, usa",440234743,0,The Testament,John Grisham,1999,Dell
5760,"springfield, ,",440234743,0,The Testament,John Grisham,1999,Dell
6795,"portland, oregon, usa",440234743,0,The Testament,John Grisham,1999,Dell
7346,"sunnyvale, california, usa",440234743,9,The Testament,John Grisham,1999,Dell
7352,"houston, texas, usa",440234743,8,The Testament,John Grisham,1999,Dell
9419,"somewhere, texas, usa",440234743,5,The Testament,John Grisham,1999,Dell
9747,"o`fallon, missouri, usa",440234743,0,The Testament,John Grisham,1999,Dell
9856,"glendale, colorado, usa",440234743,0,The Testament,John Grisham,1999,Dell
11224,"tumwater, washington, usa",440234743,6,The Testament,John Grisham,1999,Dell
11676,"n/a, n/a, n/a",440234743,9,The Testament,John Grisham,1999,Dell
12685,"charlotte, north carolina, usa",440234743,10,The Testament,John Grisham,1999,Dell
12923,"louisville, kentucky, usa",440234743,10,The Testament,John Grisham,1999,Dell
13552,"cordova, tennessee, usa",440234743,8,The Testament,John Grisham,1999,Dell
13582,"lisboa, lisboa, portugal",440234743,0,The Testament,John Grisham,1999,Dell
14521,"providence, rhode island, usa",440234743,0,The Testament,John Grisham,1999,Dell
16666,"rogersville, tennessee, usa",440234743,0,The Testament,John Grisham,1999,Dell
16795,"mechanicsville, maryland, usa",440234743,0,The Testament,John Grisham,1999,Dell
17761,"pinckney, michigan, usa",440234743,0,The Testament,John Grisham,1999,Dell
19445,"selden, new york, usa",440234743,0,The Testament,John Grisham,1999,Dell
20435,"fairhope, alabama, usa",440234743,0,The Testament,John Grisham,1999,Dell
20462,"bossier city, louisiana, usa",440234743,0,The Testament,John Grisham,1999,Dell
20783,"york, pennsylvania, usa",440234743,0,The Testament,John Grisham,1999,Dell
20801,"rio de janeiro, rio de janeiro, brazil",440234743,8,The Testament,John Grisham,1999,Dell
20916,"elmwood, massachusetts, usa",440234743,7,The Testament,John Grisham,1999,Dell
21264,"north brunswick, new jersey, usa",440234743,5,The Testament,John Grisham,1999,Dell
23511,"chapel hill, north carolina, usa",440234743,8,The Testament,John Grisham,1999,Dell
23768,"st. louis, missouri, usa",440234743,0,The Testament,John Grisham,1999,Dell
26240,"sacramento, california, usa",440234743,5,The Testament,John Grisham,1999,Dell
26544,"woodbridge, virginia, usa",440234743,0,The Testament,John Grisham,1999,Dell
26593,"peoria, arizona, usa",440234743,0,The Testament,John Grisham,1999,Dell
27684,"knox, pennsylvania, usa",440234743,9,The Testament,John Grisham,1999,Dell
28123,"indiuanapolis, indiana, usa",440234743,9,The Testament,John Grisham,1999,Dell
28619,"hartford, connecticut, usa",440234743,0,The Testament,John Grisham,1999,Dell
29654,"offenbach, hessen, germany",440234743,0,The Testament,John Grisham,1999,Dell
30487,"newbury park, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
30533,"charleston, south carolina, usa",440234743,6,The Testament,John Grisham,1999,Dell
31299,"homer city, pennsylvania, usa",440234743,10,The Testament,John Grisham,1999,Dell
31315,"henryville, indiana, usa",440234743,10,The Testament,John Grisham,1999,Dell
31556,"chula vista, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
31560,"charleston, south carolina, usa",440234743,6,The Testament,John Grisham,1999,Dell
31694,"chula vista, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
32516,"st. rose, louisiana, usa",440234743,0,The Testament,John Grisham,1999,Dell
35857,"mentor, ohio, usa",440234743,0,The Testament,John Grisham,1999,Dell
35859,"duluth, minnesota, usa",440234743,0,The Testament,John Grisham,1999,Dell
36606,"san marcos, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
37874,"williamsburg, virginia, usa",440234743,0,The Testament,John Grisham,1999,Dell
38718,"aloha, ,",440234743,9,The Testament,John Grisham,1999,Dell
38991,"cumby, texas, usa",440234743,8,The Testament,John Grisham,1999,Dell
39345,"jacksonville, florida, usa",440234743,0,The Testament,John Grisham,1999,Dell
39646,"fairless hills, pennsylvania, usa",440234743,0,The Testament,John Grisham,1999,Dell
40889,"brainerd, minnesota, usa",440234743,0,The Testament,John Grisham,1999,Dell
41781,"clinton twp., michigan, usa",440234743,0,The Testament,John Grisham,1999,Dell
44663,"klang, selangor, malaysia",440234743,8,The Testament,John Grisham,1999,Dell
45585,"san diego, california, usa",440234743,7,The Testament,John Grisham,1999,Dell
46389,"pine knoll shores, north carolina, usa",440234743,8,The Testament,John Grisham,1999,Dell
46398,"san antonio, texas, usa",440234743,0,The Testament,John Grisham,1999,Dell
46767,"leipzig, sachsen, germany",440234743,9,The Testament,John Grisham,1999,Dell
47971,"toronto, ontario, canada",440234743,0,The Testament,John Grisham,1999,Dell
48268,"vienna, vienna, austria",440234743,0,The Testament,John Grisham,1999,Dell
48911,"new orleans, louisiana, usa",440234743,10,The Testament,John Grisham,1999,Dell
49168,"ivydale, west virginia, usa",440234743,9,The Testament,John Grisham,1999,Dell
49994,"clintonville, wisconsin, usa",440234743,0,The Testament,John Grisham,1999,Dell
52584,"livermore, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
52994,"colton, oregon, usa",440234743,0,The Testament,John Grisham,1999,Dell
54005,"lacey, washington, usa",440234743,9,The Testament,John Grisham,1999,Dell
54884,"nashua, new hampshire, usa",440234743,8,The Testament,John Grisham,1999,Dell
55027,"burlington, north carolina, usa",440234743,7,The Testament,John Grisham,1999,Dell
55419,"cassville, missouri, usa",440234743,0,The Testament,John Grisham,1999,Dell
55492,"antioch, illinois, usa",440234743,0,The Testament,John Grisham,1999,Dell
57108,"new york, new york, usa",440234743,0,The Testament,John Grisham,1999,Dell
57423,"coburg, oregon, usa",440234743,8,The Testament,John Grisham,1999,Dell
57632,"pearland, texas,",440234743,5,The Testament,John Grisham,1999,Dell
59038,"san antonio, texas, usa",440234743,0,The Testament,John Grisham,1999,Dell
59390,"uniontown, pennsylvania, usa",440234743,0,The Testament,John Grisham,1999,Dell
60130,"lowell, arkansas, usa",440234743,0,The Testament,John Grisham,1999,Dell
60569,"chardon, ohio, usa",440234743,0,The Testament,John Grisham,1999,Dell
60683,"hartford, wisconsin, usa",440234743,0,The Testament,John Grisham,1999,Dell
62667,"warsaw, virginia, usa",440234743,8,The Testament,John Grisham,1999,Dell
62881,"milwaukee, wisconsin, usa",440234743,0,The Testament,John Grisham,1999,Dell
63470,"reno, nevada, usa",440234743,0,The Testament,John Grisham,1999,Dell
64535,"fredericksburg, virginia, usa",440234743,7,The Testament,John Grisham,1999,Dell
64605,"san ramon, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
64679,"buffalo grove, illinois, usa",440234743,0,The Testament,John Grisham,1999,Dell
66387,"kokomo, indiana, usa",440234743,6,The Testament,John Grisham,1999,Dell
67487,"melbourne, florida, usa",440234743,6,The Testament,John Grisham,1999,Dell
68256,"chickasha, oklahoma, usa",440234743,0,The Testament,John Grisham,1999,Dell
68537,"friendswood, texas, usa",440234743,10,The Testament,John Grisham,1999,Dell
69232,"mooresville, north carolina, usa",440234743,0,The Testament,John Grisham,1999,Dell
70205,"fresno, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
70666,"warwick, rhode island, usa",440234743,7,The Testament,John Grisham,1999,Dell
72523,"grand island, new york, usa",440234743,0,The Testament,John Grisham,1999,Dell
72912,"defuniak, florida, usa",440234743,0,The Testament,John Grisham,1999,Dell
72975,"minneapolis, minnesota, usa",440234743,7,The Testament,John Grisham,1999,Dell
74709,"macomb, michigan, usa",440234743,0,The Testament,John Grisham,1999,Dell
75691,"cincinnati, ohio, usa",440234743,9,The Testament,John Grisham,1999,Dell
75819,"west falls, new york, usa",440234743,7,The Testament,John Grisham,1999,Dell
76352,"olympia, washington, usa",440234743,0,The Testament,John Grisham,1999,Dell
76368,"langley, british columbia, canada",440234743,0,The Testament,John Grisham,1999,Dell
76942,"sacramento, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
78165,"bologna, emilia romagna, italy",440234743,10,The Testament,John Grisham,1999,Dell
78754,"dwight, illinois, usa",440234743,8,The Testament,John Grisham,1999,Dell
78834,"honolulu, hawaii, usa",440234743,0,The Testament,John Grisham,1999,Dell
78973,"amadora, lisboa, portugal",440234743,7,The Testament,John Grisham,1999,Dell
79186,"fairbanks, alaska, usa",440234743,0,The Testament,John Grisham,1999,Dell
79740,"st. louis, missouri, usa",440234743,7,The Testament,John Grisham,1999,Dell
80810,"warrensburg, missouri, usa",440234743,0,The Testament,John Grisham,1999,Dell
81088,"romsey, hampshire, united kingdom",440234743,0,The Testament,John Grisham,1999,Dell
81298,"savannah, georgia, usa",440234743,0,The Testament,John Grisham,1999,Dell
82114,"fair oaks, california, usa",440234743,9,The Testament,John Grisham,1999,Dell
82893,"san antonio, texas, usa",440234743,0,The Testament,John Grisham,1999,Dell
83034,"fairbanks, alaska, usa",440234743,0,The Testament,John Grisham,1999,Dell
84024,"abilene, texas, usa",440234743,0,The Testament,John Grisham,1999,Dell
84611,"fremont, california, usa",440234743,8,The Testament,John Grisham,1999,Dell
85534,"cleveland, ohio, usa",440234743,7,The Testament,John Grisham,1999,Dell
86303,"denver, colorado, usa",440234743,0,The Testament,John Grisham,1999,Dell
86969,"forest grove, oregon, usa",440234743,8,The Testament,John Grisham,1999,Dell
87257,"coeur d`alene, idaho, usa",440234743,0,The Testament,John Grisham,1999,Dell
87929,"portland, maine, usa",440234743,0,The Testament,John Grisham,1999,Dell
88006,"fresno, california, usa",440234743,4,The Testament,John Grisham,1999,Dell
90322,"lakeland, minnesota, usa",440234743,0,The Testament,John Grisham,1999,Dell
91633,"french camp, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
91832,"miami, florida, usa",440234743,0,The Testament,John Grisham,1999,Dell
93055,"st. charles, missouri, usa",440234743,7,The Testament,John Grisham,1999,Dell
93363,"farmington hills, michigan, usa",440234743,0,The Testament,John Grisham,1999,Dell
93643,"bergheim, texas, usa",440234743,10,The Testament,John Grisham,1999,Dell
93772,"portland, oregon, usa",440234743,9,The Testament,John Grisham,1999,Dell
93800,"mount vernon, washington, usa",440234743,6,The Testament,John Grisham,1999,Dell
94074,"zevenaar, gelderland, netherlands",440234743,0,The Testament,John Grisham,1999,Dell
94139,"san marcos, california, usa",440234743,8,The Testament,John Grisham,1999,Dell
94396,"shoreline, washington, usa",440234743,0,The Testament,John Grisham,1999,Dell
97721,"castro valley, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
98012,"friday harbor, washington, usa",440234743,0,The Testament,John Grisham,1999,Dell
98468,"eugene, oregon, usa",440234743,0,The Testament,John Grisham,1999,Dell
98723,"cincinnati, ohio, usa",440234743,0,The Testament,John Grisham,1999,Dell
98923,"liberty township, ohio, usa",440234743,7,The Testament,John Grisham,1999,Dell
100009,"victoria, british columbia, canada",440234743,0,The Testament,John Grisham,1999,Dell
100393,"riverside, california, usa",440234743,5,The Testament,John Grisham,1999,Dell
101209,"ft huachuca, arizona, usa",440234743,7,The Testament,John Grisham,1999,Dell
102647,"modesto, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
102967,"olympia, washington, usa",440234743,0,The Testament,John Grisham,1999,Dell
103315,"norton, ohio, usa",440234743,0,The Testament,John Grisham,1999,Dell
103416,"tucson, arizona, usa",440234743,0,The Testament,John Grisham,1999,Dell
105124,"sarasota, ,",440234743,6,The Testament,John Grisham,1999,Dell
105624,"royersford, pennsylvania, usa",440234743,0,The Testament,John Grisham,1999,Dell
105937,"tampa, florida, usa",440234743,0,The Testament,John Grisham,1999,Dell
105979,"oakland, california, usa",440234743,5,The Testament,John Grisham,1999,Dell
106230,"dumas, texas, usa",440234743,9,The Testament,John Grisham,1999,Dell
106273,"paducah, kentucky, usa",440234743,0,The Testament,John Grisham,1999,Dell
107201,"troy, michigan, usa",440234743,0,The Testament,John Grisham,1999,Dell
107244,"appleton, wisconsin, usa",440234743,0,The Testament,John Grisham,1999,Dell
107784,"tarentum, pennsylvania, usa",440234743,9,The Testament,John Grisham,1999,Dell
108143,"cincinnati, ohio, usa",440234743,9,The Testament,John Grisham,1999,Dell
108207,"buffalo, new york, usa",440234743,0,The Testament,John Grisham,1999,Dell
108247,"winterville, north carolina, usa",440234743,10,The Testament,John Grisham,1999,Dell
110127,"cambridge, massachusetts, usa",440234743,5,The Testament,John Grisham,1999,Dell
110440,"fairfax, virginia, usa",440234743,0,The Testament,John Grisham,1999,Dell
110558,"los angeles, california, usa",440234743,5,The Testament,John Grisham,1999,Dell
110973,"wiley ford, west virginia, usa",440234743,0,The Testament,John Grisham,1999,Dell
112001,"barren springs, virginia, usa",440234743,0,The Testament,John Grisham,1999,Dell
112093,"spencer, indiana, usa",440234743,4,The Testament,John Grisham,1999,Dell
112280,"saint  charles, missouri, usa",440234743,0,The Testament,John Grisham,1999,Dell
113328,"painted post, new york, usa",440234743,10,The Testament,John Grisham,1999,Dell
114544,"antelope, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
115003,"asheville, north carolina, usa",440234743,0,The Testament,John Grisham,1999,Dell
115120,"sherman oaks, california, usa",440234743,0,The Testament,John Grisham,1999,Dell
116127,"vancouver, washington, usa",440234743,8,The Testament,John Grisham,1999,Dell
116428,"pickering, ontario, canada",440234743,0,The Testament,John Grisham,1999,Dell
117594,"moline, illinois, usa",440234743,0,The Testament,John Grisham,1999,Dell
118659,"blacksburg, virginia, usa",440234743,8,The Testament,John Grisham,1999,Dell
119332,"berlin, berlin, germany",440234743,0,The Testament,John Grisham,1999,Dell
120396,"boyce, virginia, usa",440234743,10,The Testament,John Grisham,1999,Dell
120771,"garland, texas, usa",440234743,8,The Testament,John Grisham,1999,Dell
122251,"hampden, north dakota, usa",440234743,7,The Testament,John Grisham,1999,Dell
122440,"vancouver, british columbia, canada",440234743,9,The Testament,John Grisham,1999,Dell
122658,"atlanta, georgia, usa",440234743,0,The Testament,John Grisham,1999,Dell
123137,"decatur, georgia, usa",440234743,7,The Testament,John Grisham,1999,Dell
123430,"manning, south carolina, usa",440234743,5,The Testament,John Grisham,1999,Dell
123790,"mount vernon, new york, usa",440234743,0,The Testament,John Grisham,1999,Dell
123981,"phoenix, arizona, usa",440234743,0,The Testament,John Grisham,1999,Dell
124259,"boulder, colorado, usa",440234743,0,The Testament,John Grisham,1999,Dell
124363,"tallahassee, florida, usa",440234743,0,The Testament,John Grisham,1999,Dell
124487,"ramah, new mexico, usa",440234743,10,The Testament,John Grisham,1999,Dell
125039,"lafayette, indiana, usa",440234743,0,The Testament,John Grisham,1999,Dell
125519,"irvine, california, usa",440234743,8,The Testament,John Grisham,1999,Dell
126492,"westmont, illinois, usa",440234743,0,The Testament,John Grisham,1999,Dell
127200,"urbana, illinois, usa",440234743,0,The Testament,John Grisham,1999,Dell
128185,"glendale, missouri, usa",440234743,6,The Testament,John Grisham,1999,Dell
128208,"san antonio, texas, usa",440234743,0,The Testament,John Grisham,1999,Dell
128463,"jersey city, new jersey, usa",440234743,7,The Testament,John Grisham,1999,Dell
129084,"boise, idaho, usa",440234743,0,The Testament,John Grisham,1999,Dell
130784,"ferndale, washington, usa",440234743,8,The Testament,John Grisham,1999,Dell
131046,"ellington, connecticut, usa",440234743,0,The Testament,John Grisham,1999,Dell
131681,"muskegon, michigan, usa",440234743,9,The Testament,John Grisham,1999,Dell
131703,"endicott, new york, usa",440234743,9,The Testament,John Grisham,1999,Dell
131837,"west valley city, utah, usa",440234743,0,The Testament,John Grisham,1999,Dell
132144,"seattle, washington, usa",440234743,9,The Testament,John Grisham,1999,Dell
133706,"palmyra, western australia, australia",440234743,8,The Testament,John Grisham,1999,Dell
