MAL_ID,Name,Score,,,,,,
160,"Ima, Soko ni Iru Boku",7.66,,,,,,
161,Peace Maker Kurogane,7.33,,,,,,
162,Pita Ten,6.94,,,,,,
163,Power Stone,6.48,,,,,,
164,Mononoke Hime,8.72,,,,,,
165,RahXephon,7.42,,,,,,
166,Samurai 7,7.48,,,,,,
167,Scrapped Princess,7.41,,,,,,
168,s.CRY.ed,7.38,,,,,,
169,Shingetsutan Tsukihime,6.91,,,,,,
170,Slam Dunk,8.53,,,,,,
171,Strange Dawn,6.35,,,,,,
173,Tactics,7.23,,,,,,
174,Tenjou Tenge,6.93,,,,,,
175,Tokyo Underground,6.63,,,,,,
176,Triangle Heart: Sweet Songs Forever,6.19,,,,,,
177,Tsubasa Chronicle,7.55,,,,,,
178,Ultra Maniac,7.18,,,,,,
179,Ultra Maniac OVA,6.69,,,,,,
180,Vandread,7.21,,,,,,
181,Vandread: The Second Stage,7.42,,,,,,
182,Tenkuu no Escaflowne,7.7,,,,,,
183,Whistle!,7.39,,,,,,
184,Xenosaga The Animation,6.37,,,,,,
185,Initial D First Stage,8.29,,,,,,
186,Initial D Second Stage,8.12,,,,,,
187,Initial D Third Stage,7.89,,,,,,
188,Gosenzo San'e,6.11,,,,,,
189,Love Hina,7.14,,,,,,
190,Love Hina Again,7.25,,,,,,
191,Love Hina Christmas Special: Silent Eve,7.34,,,,,,
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.21,,,,,,
193,Maburaho,6.8,,,,,,
194,Macross Zero,7.55,,,,,,
195,Onegai☆Teacher,7.17,,,,,,
196,Onegai☆Twins,6.88,,,,,,
197,Rizelmine,6.55,,,,,,
198,Speed Grapher,7.35,,,,,,
199,Sen to Chihiro no Kamikakushi,8.83,,,,,,
200,Tenshi na Konamaiki,7.48,,,,,,
201,Video Girl Ai,7.21,,,,,,
202,Wolf's Rain,7.82,,,,,,
203,Words Worth,6.75,,,,,,
204,Yumeria,6.11,,,,,,
205,Samurai Champloo,8.5,,,,,,
206,Lodoss-tou Senki: Eiyuu Kishi Den,7.16,,,,,,
207,Lodoss-tou Senki,7.4,,,,,,
208,R.O.D: Read or Die,7.67,,,,,,
209,R.O.D: The TV,7.55,,,,,,
210,Ranma ½,7.76,,,,,,
211,Pure Mail,6.26,,,,,,
212,Project A-Ko,6.86,,,,,,
213,Pia Carrot e Youkoso!!,6.02,,,,,,
214,Pia Carrot e Youkoso!! 2,6.15,,,,,,
215,Pia Carrot e Youkoso!! 2 DX,6.31,,,,,,
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,,,,,,
217,Shin Angel,6.28,,,,,,
218,Kidou Senkan Nadesico,7.52,,,,,,
219,Kidou Senkan Nadesico: The Prince of Darkness,6.77,,,,,,
220,Kuro no Danshou,5.76,,,,,,
221,Mezzo Forte,6.65,,,,,,
222,Mezzo DSA,6.68,,,,,,
223,Dragon Ball,8,,,,,,
225,Dragon Ball GT,6.48,,,,,,
226,Elfen Lied,7.56,,,,,,
227,FLCL,8.03,,,,,,
228,Jigoku Shoujo,7.65,,,,,,
229,Ninin ga Shinobuden,6.92,,,,,,
230,Air Master,7.02,,,,,,
231,Asagiri no Miko,6.18,,,,,,
232,Cardcaptor Sakura,8.16,,,,,,
233,Daa! Daa! Daa!,7.65,,,,,,
234,Dan Doh!!,6.69,,,,,,
235,Detective Conan,8.16,,,,,,
236,E's Otherwise,6.64,,,,,,
237,Koukyoushihen Eureka Seven,8.09,,,,,,
238,Rekka no Honoo,7.36,,,,,,
239,Gankutsuou,8.17,,,,,,
240,Genshiken,7.66,,,,,,
241,Girls Bravo: First Season,6.45,,,,,,
242,Gokusen,7.42,,,,,,
243,Gravitation,7.02,,,,,,
244,Agatha Christie no Meitantei Poirot to Marple,6.88,,,,,,
245,Great Teacher Onizuka,8.7,,,,,,
246,Groove Adventure Rave,7.27,,,,,,
247,Harukanaru Toki no Naka de: Hachiyou Shou,7.05,,,,,,
248,Ichigo 100%,6.68,,,,,,
249,InuYasha,7.85,,,,,,
250,Konjiki no Gash Bell!!,7.55,,,,,,
251,Kyou kara Maou!,7.7,,,,,,
252,Madlax,7.07,,,,,,
253,Jungle wa Itsumo Hare nochi Guu,7.84,,,,,,
254,Jungle wa Itsumo Hare nochi Guu Deluxe,7.83,,,,,,
255,Jungle wa Itsumo Hare nochi Guu Final,7.65,,,,,,
256,Hoshi no Koe,7.22,,,,,,
257,Ikkitousen,6.45,,,,,,
258,Hitsuji no Uta,6.23,,,,,,
259,Happy☆Lesson,6.64,,,,,,
260,Happy☆Lesson (TV),6.67,,,,,,
261,Happy☆Lesson: Advance,6.84,,,,,,
262,Happy☆Lesson: The Final,6.83,,,,,,
263,Hajime no Ippo,8.75,,,,,,
264,Hajime no Ippo: Champion Road,8.29,,,,,,
265,Hajime no Ippo: Mashiba vs. Kimura,8.23,,,,,,
266,Gunparade March: Arata Naru Kougunka,6.8,,,,,,
267,Gungrave,7.87,,,,,,
268,Golden Boy,8.03,,,,,,
269,Bleach,7.8,,,,,,
270,Hellsing,7.5,,,,,,
271,Gad Guard,6.7,,,,,,
272,Noir,7.31,,,,,,
273,Mahoutsukai ni Taisetsu na Koto,6.75,,,,,,
274,Kiddy Grade,7.22,,,,,,
275,Love♥Love?,5.91,,,,,,
276,Mahoromatic: Automatic Maiden,7.18,,,,,,
277,Mahoromatic: Motto Utsukushii Mono,7.17,,,,,,
278,Viewtiful Joe,6.75,,,,,,
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.15,,,,,,
280,Animal Yokochou,6.83,,,,,,
281,Akane Maniax,5.74,,,,,,
282,Angel Heart,7.3,,,,,,
283,Akage no Anne,7.7,,,,,,
284,Area 88 (TV),7.03,,,,,,
285,Argento Soma,6.8,,,,,,
286,B'T X,7.05,,,,,,
287,Grappler Baki (TV),7.44,,,,,,
288,Bakuten Shoot Beyblade,6.73,,,,,,
289,Comic Party,6.59,,,,,,
290,Seikai no Monshou,7.69,,,,,,
291,D.C.S.S: Da Capo Second Season,7.01,,,,,,
292,Dear Boys,6.85,,,,,,
293,Di Gi Charat,6.73,,,,,,
294,Divergence Eve,5.93,,,,,,
295,Divergence Eve 2: Misaki Chronicles,6.3,,,,,,
296,Dragon Drive,6.73,,,,,,
297,Grenadier: Hohoemi no Senshi,6.72,,,,,,
298,.hack//Tasogare no Udewa Densetsu,6.6,,,,,,
299,.hack//Liminality,6.61,,,,,,
300,3x3 Eyes,6.77,,,,,,
301,Cinderella Boy,6.32,,,,,,
302,Mirai Shounen Conan,8.09,,,,,,
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.92,,,,,,
304,Aa! Megami-sama! Movie,7.57,,,,,,
305,Abashiri Ikka,5.39,,,,,,
306,Abenobashi Mahou☆Shoutengai,7.26,,,,,,
307,Kerokko Demetan,6.01,,,,,,
308,Zettai Shounen,6.94,,,,,,
309,Akahori Gedou Hour Rabuge,6.16,,,,,,
310,"Chiisana Obake: Acchi, Kocchi, Socchi",5.98,,,,,,
311,Ace wo Nerae!,7.02,,,,,,
312,Ace wo Nerae!: Final Stage,6.52,,,,,,
313,Ace wo Nerae! (1979),6.83,,,,,,
314,Ace wo Nerae! 2,6.87,,,,,,
315,Xiao Qian,6.5,,,,,,
316,Nageki no Kenkou Yuuryouji,6.19,,,,,,
317,Final Fantasy VII: Advent Children,7.76,,,,,,
318,Hand Maid May,6.73,,,,,,
319,Happy World!,6.02,,,,,,
320,A Kite,6.56,,,,,,
321,Najica Dengeki Sakusen,6,,,,,,
322,Paradise Kiss,7.83,,,,,,
323,Mousou Dairinin,7.68,,,,,,
324,Kidou Keisatsu Patlabor: On Television,7.69,,,,,,
325,Peach Girl,7,,,,,,
326,Petshop of Horrors,7.27,,,,,,
327,Puchi Pri*Yucie,7.42,,,,,,
328,Piano (TV),6.02,,,,,,
329,Planetes,8.31,,,,,,
330,Midori no Hibi,7.28,,,,,,
331,Mahoujin Guruguru,7.61,,,,,,
332,Dokidoki♡Densetsu: Mahoujin Guruguru,7.19,,,,,,
333,Mama wa Shougaku 4 Nensei,7.21,,,,,,
334,Marmalade Boy,7.49,,,,,,
335,Matantei Loki Ragnarok,7.29,,,,,,
336,Ginyuu Mokushiroku Meine Liebe,6.46,,,,,,
337,Psychic Academy,6.24,,,,,,
338,Versailles no Bara,8.33,,,,,,
339,Serial Experiments Lain,8.03,,,,,,
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.59,,,,,,
341,Spiral: Suiri no Kizuna,7.25,,,,,,
342,Starship Operators,7,,,,,,
343,Tsukuyomi: Moon Phase,7,,,,,,
344,Futatsu no Spica,7.37,,,,,,
345,Eikoku Koi Monogatari Emma,7.67,,,,,,
346,W: Wish,6.19,,,,,,
347,Wild Arms: Twilight Venom,6.66,,,,,,
348,Binzume Yousei,6.45,,,,,,
349,Magical Canan,6.19,,,,,,
350,Ojamajo Doremi,7.21,,,,,,
351,Ojamajo Doremi Sharp,7.34,,,,,,
352,Motto! Ojamajo Doremi,7.34,,,,,,
353,Ojamajo Doremi Dokkaan!,7.59,,,,,,
354,UG☆Ultimate Girls,5.63,,,,,,
355,Shakugan no Shana,7.51,,,,,,
356,Fate/stay night,7.34,,,,,,
357,Bokusatsu Tenshi Dokuro-chan,6.59,,,,,,
358,"Iriya no Sora, UFO no Natsu",6.99,,,,,,
359,I'll/CKBC,6.3,,,,,,
360,Himiko-den,6.24,,,,,,
361,Memories Off,5.93,,,,,,
362,Memories Off 2nd,6.3,,,,,,
363,Memories Off 3.5,6.29,,,,,,
364,Gallery Fake,7.47,,,,,,
365,Fake,6.54,,,,,,
366,AIKa,5.94,,,,,,
367,Akazukin Chacha OVA,7.05,,,,,,
368,Bible Black,6.65,,,,,,
369,Boogiepop wa Warawanai,7.17,,,,,,
370,Burn Up Excess,6.55,,,,,,
371,Cardcaptor Sakura Movie 1,7.64,,,,,,
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.22,,,,,,
373,Bannou Bunka Neko-Musume,6.7,,,,,,
374,Bannou Bunka Neko-Musume DASH!,6.37,,,,,,
375,Bannou Bunka Neko-Musume (1998),6.53,,,,,,
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",7.19,,,,,,
377,eX-Driver,6.73,,,,,,
378,eX-Driver the Movie,6.64,,,,,,
379,Heppoko Jikken Animation Excel♥Saga,7.5,,,,,,
380,Fushigi Yuugi OVA,7.16,,,,,,
381,Fushigi Yuugi: Dai Ni Bu,7.27,,,,,,
382,Futari Ecchi,6.37,,,,,,
383,Galaxy Angel,7.03,,,,,,
384,Gantz,7.05,,,,,,
385,Gilgamesh,6.65,,,,,,
386,H2,7.27,,,,,,
387,Haibane Renmei,7.99,,,,,,
388,Capeta,7.83,,,,,,
389,Karas,7.42,,,,,,
390,Suzuka,7.22,,,,,,
391,Tales of Phantasia The Animation,6.82,,,,,,
392,Yuu☆Yuu☆Hakusho,8.45,,,,,,
393,Escaflowne,7.08,,,,,,
394,Ai Yori Aoshi: Enishi,7.16,,,,,,
395,Gantz 2nd Stage,7.08,,,,,,
396,Seikai no Senki,7.72,,,,,,
397,Seikai no Senki II,7.84,,,,,,
398,Seikai no Senki III,7.7,,,,,,
399,Seikai no Senki Special,7.26,,,,,,
400,Seihou Bukyou Outlaw Star,7.87,,,,,,
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,8,,,,,,
402,Otogi Juushi Akazukin OVA,6.48,,,,,,
403,Hanaukyou Maid-tai,6.62,,,,,,
404,Bastard!!: Ankoku no Hakaishin,6.75,,,,,,
405,Blood: The Last Vampire,6.91,,,,,,
406,Buzzer Beater,6.56,,,,,,
407,Tantei Gakuen Q,7.76,,,,,,
408,Final Fantasy VII: Last Order,7.33,,,,,,
411,Gun x Sword,7.28,,,,,,
412,Kore ga Watashi no Goshujinsama,6.56,,,,,,
413,Hametsu no Mars,2.23,,,,,,
415,Tonari no Yamada-kun,7.19,,,,,,
416,Kurenai no Buta,7.98,,,,,,
417,Ragnarök The Animation,6.47,,,,,,
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,7.26,,,,,,
419,Samurai Deeper Kyou,6.92,,,,,,
420,Spriggan,6.68,,,,,,
421,Stratos 4,6.66,,,,,,
422,Stratos 4 OVA,6.73,,,,,,
423,Stratos 4 Advance,6.85,,,,,,
424,Dirty Pair,7.18,,,,,,
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,6.44,,,,,,
426,Final Fantasy,6.12,,,,,,
427,Kaleido Star,7.94,,,,,,
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,7.52,,,,,,
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.88,,,,,,
430,Fullmetal Alchemist: The Conqueror of Shamballa,7.57,,,,,,
431,Howl no Ugoku Shiro,8.67,,,,,,
432,Iria: Zeiram The Animation,7.07,,,,,,
433,"Kumo no Mukou, Yakusoku no Basho",7.56,,,,,,
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,5.55,,,,,,
435,Magic Knight Rayearth,7.46,,,,,,
437,Perfect Blue,8.48,,,,,,
438,Phantom The Animation,6.54,,,,,,
439,RG Veda,6.14,,,,,,
440,Shoujo Kakumei Utena,8.2,,,,,,
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.6,,,,,,
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,7.1,,,,,,
443,Onegai☆Teacher: Himitsu na Futari,7.32,,,,,,
444,Maria-sama ga Miteru: Haru,7.68,,,,,,
445,Tales of Eternia The Animation,6.21,,,,,,
446,Weiß Kreuz Glühen,6.59,,,,,,
447,Weiß Kreuz,6.73,,,,,,
448,Tenjou Tenge: The Ultimate Fight,7.06,,,,,,
449,InuYasha Movie 4: Guren no Houraijima,7.54,,,,,,
450,InuYasha Movie 2: Kagami no Naka no Mugenjo,7.66,,,,,,
451,InuYasha Movie 3: Tenka Hadou no Ken,7.8,,,,,,
452,InuYasha Movie 1: Toki wo Koeru Omoi,7.56,,,,,,
454,.hack//Gift,6.16,,,,,,
455,Fantastic Children,7.55,,,,,,
456,Gokujou Seitokai,6.94,,,,,,
457,Mushishi,8.69,,,,,,
458,Buttobi!! CPU,6.24,,,,,,
459,One Piece Movie 1,7.1,,,,,,
460,One Piece Movie 2: Nejimaki-jima no Daibouken,7.17,,,,,,
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,6.99,,,,,,
462,One Piece Movie 4: Dead End no Bouken,7.59,,,,,,
463,One Piece Movie 5: Norowareta Seiken,7.23,,,,,,
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,7.7,,,,,,
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,7.28,,,,,,
466,One Piece: Taose! Kaizoku Ganzack,6.76,,,,,,
467,Koukaku Kidoutai: Stand Alone Complex,8.45,,,,,,
468,Innocence,7.82,,,,,,
469,Karin,7.17,,,,,,
470,Okusama wa Joshikousei (TV),6.34,,,,,,
471,To Heart 2,6.52,,,,,,
472,To Heart,6.6,,,,,,
473,Tide-Line Blue,6.66,,,,,,
474,Macross Plus,7.72,,,,,,
475,Hotori: Tada Saiwai wo Koinegau,6.93,,,,,,
476,Ginban Kaleidoscope,7.34,,,,,,
477,Aria the Animation,7.69,,,,,,
478,Sousei no Aquarion,7.11,,,,,,
479,Ueki no Housoku,7.76,,,,,,
481,Yu☆Gi☆Oh! Duel Monsters,7.47,,,,,,
482,Yu☆Gi☆Oh!: Duel Monsters GX,7.16,,,,,,
483,Kurau Phantom Memory,7.35,,,,,,
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,7.35,,,,,,
485,Damekko Doubutsu,7.29,,,,,,
486,Kino no Tabi: The Beautiful World,8.34,,,,,,
487,Girls Bravo: Second Season,6.68,,,,,,
488,Ichigo Mashimaro,7.66,,,,,,
489,Kamichu!,7.4,,,,,,
490,Paniponi Dash!,7.45,,,,,,
492,Armitage III: Dual-Matrix,6.86,,,,,,
493,Armitage III: Poly-Matrix,7.08,,,,,,
495,Bakuretsu Hunters,6.71,,,,,,
496,Kamui no Ken,6.63,,,,,,
497,Yami to Boushi to Hon no Tabibito,6.58,,,,,,
498,Haja Taisei Dangaiou,6.13,,,,,,
499,Makai Toshi Shinjuku,6.17,,,,,,
501,Doraemon,7.36,,,,,,
502,Dragon Ball Movie 1: Shen Long no Densetsu,6.83,,,,,,
503,Eien no Aselia,5.51,,,,,,
504,Fatal Fury: The Motion Picture,6.59,,,,,,
505,Fushigiboshi no☆Futagohime,7.27,,,,,,
506,Glass no Kamen,7.34,,,,,,
507,Gravitation: Lyrics of Love,6.96,,,,,,
508,Tottoko Hamtarou,6.97,,,,,,
509,I My Me! Strawberry Eggs,6.81,,,,,,
510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.89,,,,,,
511,Kidou Shinsengumi Moeyo Ken TV,6.19,,,,,,
512,Majo no Takkyuubin,8.24,,,,,,
513,Tenkuu no Shiro Laputa,8.31,,,,,,
514,Cossette no Shouzou,6.85,,,,,,
515,Hajimari no Boukensha-tachi: Legend of Crystania,6.06,,,,,,
516,Keroro Gunsou,7.7,,,,,,
517,School Rumble: Ichi Gakki Hoshuu,7.75,,,,,,
518,Mahou no Princess Minky Momo,6.74,,,,,,
519,Mahoraba: Heartful days,7.34,,,,,,
520,Marmalade Boy Movie,7.35,,,,,,
521,Mermaid Melody Pichi Pichi Pitch,7.04,,,,,,
522,Metropolis,7.54,,,,,,
523,Tonari no Totoro,8.31,,,,,,
524,Onegai☆Twins: Natsu wa Owaranai,7.04,,,,,,
525,Otogizoushi,6.98,,,,,,
526,Boku no Chikyuu wo Mamotte,7.17,,,,,,
527,Pokemon,7.34,,,,,,
528,Pokemon Movie 01: Mewtwo no Gyakushuu,7.63,,,,,,
529,Saishuu Heiki Kanojo,7.18,,,,,,
530,Bishoujo Senshi Sailor Moon,7.68,,,,,,
531,Bishoujo Senshi Sailor Moon R: The Movie,7.7,,,,,,
532,Bishoujo Senshi Sailor Moon S,7.85,,,,,,
533,Sensei no Ojikan: Doki Doki School Hours,6.69,,,,,,
534,Slayers,7.76,,,,,,
535,Slayers Next,8.04,,,,,,
536,Slayers: The Motion Picture,7.3,,,,,,
537,Tekken,5.27,,,,,,
538,Shin Tenchi Muyou!,6.87,,,,,,
539,Tenchi Muyou! Ryououki,7.66,,,,,,
540,Tenchi Muyou! Ryououki 2nd Season,7.66,,,,,,
541,Tenchi Muyou! Ryououki 3rd Season,7.32,,,,,,
543,Vampire Hunter D (2000),7.89,,,,,,
544,Venus Senki,6.78,,,,,,
545,Mousou Kagaku Series: Wandaba Style,6.03,,,,,,
546,Wind: A Breath of Heart (TV),6,,,,,,
547,Wind: A Breath of Heart OVA,6.24,,,,,,
548,Wonderful Days,7.04,,,,,,
550,Yu☆Gi☆Oh!,7.21,,,,,,
551,Grappler Baki: Saidai Tournament-hen,7.45,,,,,,
552,Digimon Adventure,7.79,,,,,,
553,Yami no Matsuei,7.07,,,,,,
554,Koutetsu Tenshi Kurumi,6.79,,,,,,
555,Koutetsu Tenshi Kurumi 2,6.3,,,,,,
556,Koutetsu Tenshi Kurumi Zero,6.11,,,,,,
557,Koutetsu Tenshi Kurumi Encore,6.7,,,,,,
558,Major S2,8.25,,,,,,
559,RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,6.35,,,,,,
560,Soukyuu no Fafner: Right of Left - Single Program,7.4,,,,,,
561,Sakura Taisen,6.88,,,,,,
562,Sakura Taisen: Le Nouveau Paris,6.44,,,,,,
563,DNA²,6.68,,,,,,
564,Puni Puni☆Poemii,6.56,,,,,,
565,Steamboy,7.35,,,,,,
566,Tetsuwan Birdy,7.11,,,,,,
567,The Big O,7.53,,,,,,
568,Bubblegum Crisis Tokyo 2040,7.1,,,,,,
569,Musekinin Kanchou Tylor,7.87,,,,,,
570,Jin-Rou,7.79,,,,,,
571,Moldiver,6.07,,,,,,
572,Kaze no Tani no Nausicaä,8.4,,,,,,
573,Saber Marionette J,7.35,,,,,,
574,Rean no Tsubasa,5.74,,,,,,
576,Magikano,6.38,,,,,,
577,Kagi Hime Monogatari: Eikyuu Alice Rondo,6.21,,,,,,
578,Hotaru no Haka,8.51,,,,,,
579,Battle Programmer Shirase,6.94,,,,,,
580,Kogepan,6.84,,,,,,
581,Honoo no Labyrinth,6.25,,,,,,
582,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,7.71,,,,,,
584,Noein: Mou Hitori no Kimi e,7.62,,,,,,
585,Mimi wo Sumaseba,8.23,,,,,,
586,Ayakashi: Japanese Classic Horror,7.45,,,,,,
587,Hanbun no Tsuki ga Noboru Sora,7.52,,,,,,
588,Itsudatte My Santa!,5.96,,,,,,
589,Ginga Nagareboshi Gin,8.04,,,,,,
590,Kage kara Mamoru!,6.62,,,,,,
